,1,4,12,20,30,60
0,17.0,17.0,17.0,17.0,17.0,17.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.0,0.0,0.0,0.0,0.0
4,1.0,4.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.0,6.0,0.0,0.0,0.0
16,1.0,1.0,0.0,0.0,0.0,0.0
20,0.0,1.0,0.0,7.0,0.0,0.0
24,0.0,0.0,1.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,7.0,0.0
36,0.0,0.0,1.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,0.0,0.0
60,0.0,0.0,0.0,0.0,1.0,8.0
72,1.0,1.0,0.0,0.0,0.0,0.0
84,0.0,0.0,1.0,0.0,0.0,0.0
140,0.0,0.0,0.0,1.0,0.0,0.0
150,0.0,0.0,0.0,0.0,1.0,0.0
300,0.0,0.0,0.0,0.0,0.0,1.0
