# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
0, 223, 93, 26.552288, -79.793037, 271.000000, 26.554472, -79.789986, 276.000000
1, 694, 699, 26.505358, -79.925514, 1241.000000, 26.500746, -79.947632, 1248.000000
2, 856, 828, 26.587852, -79.843040, 1376.000000, 26.593178, -79.865837, 1358.000000
3, 520, 463, 26.325714, -78.461594, 1011.000000, 26.330141, -78.475334, 1036.000000
4, 520, 432, 26.516439, -77.724289, 1006.000000, 26.519163, -77.750847, 1031.000000
5, 520, 432, 26.627563, -77.277100, 1003.000000, 26.629416, -77.312462, 1028.000000
6, 520, 432, 26.553812, -77.575760, 1005.000000, 26.556231, -77.605080, 1030.000000
7, 432, 495, 26.665609, -77.165741, 1027.000000, 26.668423, -77.217262, 1083.000000
8, 432, 520, 26.593086, -77.459099, 1029.000000, 26.590961, -77.426941, 1004.000000
9, 494, 463, 26.593010, -77.418152, 1085.000000, 26.593086, -77.459099, 1029.000000
10, 494, 432, 26.556700, -77.569122, 1086.000000, 26.556231, -77.605080, 1030.000000
11, 523, 495, 26.660940, -77.184189, 1104.000000, 26.668423, -77.217262, 1083.000000
12, 552, 495, 26.673201, -77.374397, 1136.000000, 26.668423, -77.217262, 1083.000000
13, 604, 495, 26.660221, -77.237083, 1110.000000, 26.668423, -77.217262, 1083.000000
14, 671, 0, 26.721231, -77.224846, 1325.000000, 26.725960, -77.221191, 1381.000000
15, 520, 432, 26.736019, -76.826118, 1000.000000, 26.737156, -76.871758, 1025.000000
16, 432, 494, 26.772198, -76.725533, 1024.000000, 26.770693, -76.660805, 1080.000000
17, 432, 0, 26.701670, -77.018921, 1026.000000, 26.700268, -76.977005, 1001.000000
18, 494, 494, 26.700994, -76.964531, 1082.000000, 26.701670, -77.018921, 1026.000000
19, 523, 494, 26.770617, -76.726738, 1101.000000, 26.770693, -76.660805, 1080.000000
20, 84, 211, 26.842190, -79.729057, 260.000000, 26.842190, -79.729057, 249.000000
21, 93, 223, 26.992306, -79.501907, 280.000000, 26.989590, -79.506653, 275.000000
22, 223, 211, 27.540424, -79.148277, 280.000000, 27.543646, -79.140335, 285.000000
23, 38, 15, 28.429394, -81.308990, 68.000000, 28.429394, -81.308990, 25.000000
24, 547, 561, 28.429394, -81.308990, 1155.000000, 28.429394, -81.308990, 1160.000000
25, 561, 561, 28.429394, -81.308990, 1150.000000, 28.429394, -81.308990, 1160.000000
26, 632, 651, 28.429394, -81.308990, 1269.000000, 28.429394, -81.308990, 1287.000000
27, 651, 651, 28.429394, -81.308990, 1313.000000, 28.429394, -81.308990, 1287.000000
28, 657, 651, 28.429394, -81.308990, 1317.000000, 28.429394, -81.308990, 1287.000000
29, 775, 651, 28.429394, -81.308990, 1315.000000, 28.429394, -81.308990, 1287.000000
30, 865, 811, 28.429394, -81.308990, 1376.000000, 28.429394, -81.308990, 1340.000000
31, 38, 0, 28.760231, -81.050224, 71.000000, 28.760231, -81.050224, 33.000000
32, 561, 556, 28.680548, -80.588303, 1145.000000, 28.683964, -80.582054, 1150.000000
33, 84, 211, 28.381342, -78.900192, 273.000000, 28.381342, -78.900192, 262.000000
34, 84, 211, 28.976866, -78.567497, 278.000000, 28.976866, -78.567497, 267.000000
35, 775, 1344, 29.760328, -80.634918, 1326.000000, 29.761444, -80.574692, 1351.000000
36, 38, 116, 29.532026, -80.433708, 78.000000, 29.532026, -80.433708, 40.000000
37, 93, 268, 29.758184, -77.614853, 305.000000, 29.751591, -77.634758, 300.000000
38, 161, 25, 29.984434, -95.341438, 77.000000, 29.984434, -95.341438, 43.000000
39, 944, 331, 29.984434, -95.341438, 434.000000, 29.984434, -95.341438, 436.000000
40, 333, 946, 29.984434, -95.341438, 1096.000000, 29.984434, -95.341438, 1048.000000
41, 351, 333, 30.149237, -95.224442, 1096.000000, 30.151157, -95.211082, 1094.000000
42, 351, 946, 29.984434, -95.341438, 1098.000000, 29.984434, -95.341438, 1048.000000
43, 354, 946, 29.984434, -95.341438, 1106.000000, 29.984434, -95.341438, 1048.000000
44, 357, 946, 29.984434, -95.341438, 1107.000000, 29.984434, -95.341438, 1048.000000
45, 410, 946, 29.984434, -95.341438, 1095.000000, 29.984434, -95.341438, 1048.000000
46, 747, 946, 29.984434, -95.341438, 1096.000000, 29.984434, -95.341438, 1048.000000
47, 752, 827, 29.984434, -95.341438, 1295.000000, 29.984434, -95.341438, 1351.000000
48, 760, 827, 29.984434, -95.341438, 1304.000000, 29.984434, -95.341438, 1351.000000
49, 827, 827, 29.984434, -95.341438, 1351.000000, 29.984434, -95.341438, 1323.000000
50, 827, 150, 29.984434, -95.341438, 1351.000000, 29.984434, -95.341438, 1395.000000
51, 752, 739, 30.280611, -94.656921, 1300.000000, 30.282503, -94.662361, 1283.000000
52, 760, 739, 30.282503, -94.662361, 1309.000000, 30.282503, -94.662361, 1283.000000
53, 185, 80, 29.950832, -94.020691, 186.000000, 29.950832, -94.020691, 206.000000
54, 38, 34, 29.861822, -80.164345, 81.000000, 29.861822, -80.164345, 43.000000
55, 38, 0, 30.190636, -79.891747, 84.000000, 30.190636, -79.891747, 46.000000
56, 126, 148, 29.857496, -77.934044, 223.000000, 29.859579, -78.051285, 182.000000
